fiveTuple,srcIP,dstIP,protocol,srcPort,dstPort,flowDuration,flowLength,fwdFlowLength,bwdFlowLength,packetSizeTotal,packetSizeMean,packetSizeStd,packetSizeMin,packetSizeMax,fwdPacketSizeTotal,bwdPacketSizeTotal,fwdPacketSizeMean,bwdPacketSizeMean,fwdPacketSizeStd,bwdPacketSizeStd,fwdPacketSizeMin,bwdPacketSizeMin,fwdPacketSizeMax,bwdPacketSizeMax,IATMean,IATStd,IATMin,IATMax,fwdIATTotal,bwdIATTotal,fwdIATMean,bwdIATMean,fwdIATStd,bwdIATStd,fwdIATMin,bwdIATMin,fwdIATMax,bwdIATMax,Type
198.199.96.210--138.68.177.159--TCP--38792--8080(http-alt),138.68.177.159,198.199.96.210,TCP,8080(http-alt),38792,6439342000.0,50.0,0.0,50.0,8750.0,175.0,0.0,175.0,175.0,0.0,8750.0,175.0,175.0,0.0,0.0,0.0,175.0,0.0,175.0,131415000.0,2480000.0,129564000.0,143476000.0,0.0,6439342000.0,0.0,131415000.0,0.0,2480000.0,0.0,129564000.0,0.0,143476000.0,Malicious
138.68.177.159--198.199.96.210--TCP--8080(http-alt)--55376,198.199.96.210,138.68.177.159,TCP,55376,8080(http-alt),1545790000.0,27.0,0.0,27.0,5377.0,199.148148,160.59835,66.0,399.0,0.0,5377.0,199.148148,199.148148,0.0,160.59835,0.0,66.0,0.0,399.0,59453000.0,61349000.0,880000.0,135112000.0,0.0,1545790000.0,0.0,59453000.0,0.0,61349000.0,0.0,880000.0,0.0,135112000.0,Malicious
138.68.177.159--198.199.96.210--TCP--8080(http-alt)--55066,198.199.96.210,138.68.177.159,TCP,55066,8080(http-alt),3899099000.0,83.0,0.0,83.0,15260.0,183.855422,156.664336,66.0,408.0,0.0,15260.0,183.855422,183.855422,0.0,156.664336,0.0,66.0,0.0,408.0,47549000.0,62141000.0,4000.0,143756000.0,0.0,3899099000.0,0.0,47549000.0,0.0,62141000.0,0.0,4000.0,0.0,143756000.0,Malicious
198.199.96.210--138.68.177.159--TCP--58944--8080(http-alt),138.68.177.159,198.199.96.210,TCP,8080(http-alt),58944,391527000.0,19.0,0.0,19.0,45987.0,2420.368421,1029.890501,66.0,2962.0,0.0,45987.0,2420.368421,2420.368421,0.0,1029.890501,0.0,66.0,0.0,2962.0,21751000.0,41029000.0,1000.0,132102000.0,0.0,391527000.0,0.0,21751000.0,0.0,41029000.0,0.0,1000.0,0.0,132102000.0,Malicious
138.68.177.159--198.199.96.210--TCP--8080(http-alt)--36876,198.199.96.210,138.68.177.159,TCP,36876,8080(http-alt),4595557000.0,83.0,0.0,83.0,16595.0,199.939759,160.811747,66.0,402.0,0.0,16595.0,199.939759,199.939759,0.0,160.811747,0.0,66.0,0.0,402.0,56043000.0,64285000.0,6000.0,148761000.0,0.0,4595557000.0,0.0,56043000.0,0.0,64285000.0,0.0,6000.0,0.0,148761000.0,Malicious
198.199.96.210--138.68.177.159--TCP--38724--8080(http-alt),138.68.177.159,198.199.96.210,TCP,8080(http-alt),38724,6448086000.0,50.0,0.0,50.0,8750.0,175.0,0.0,175.0,175.0,0.0,8750.0,175.0,175.0,0.0,0.0,0.0,175.0,0.0,175.0,131593000.0,3341000.0,129759000.0,148591000.0,0.0,6448086000.0,0.0,131593000.0,0.0,3341000.0,0.0,129759000.0,0.0,148591000.0,Malicious
198.199.96.210--138.68.177.159--TCP--55606--8080(http-alt),138.68.177.159,198.199.96.210,TCP,8080(http-alt),55606,915612000.0,83.0,0.0,83.0,203374.0,2450.289157,1019.450319,66.0,2962.0,0.0,203374.0,2450.289157,2450.289157,0.0,1019.450319,0.0,66.0,0.0,2962.0,11166000.0,33912000.0,1000.0,132401000.0,0.0,915612000.0,0.0,11166000.0,0.0,33912000.0,0.0,1000.0,0.0,132401000.0,Malicious
138.68.177.159--198.199.96.210--TCP--8080(http-alt)--40182,198.199.96.210,138.68.177.159,TCP,40182,8080(http-alt),1219497000.0,25.0,0.0,25.0,4606.0,184.24,157.703083,66.0,412.0,0.0,4606.0,184.24,184.24,0.0,157.703083,0.0,66.0,0.0,412.0,50812000.0,62390000.0,9000.0,137791000.0,0.0,1219497000.0,0.0,50812000.0,0.0,62390000.0,0.0,9000.0,0.0,137791000.0,Malicious
198.199.96.210--138.68.177.159--TCP--58870--8080(http-alt),138.68.177.159,198.199.96.210,TCP,8080(http-alt),58870,933733000.0,83.0,0.0,83.0,193386.0,2329.951807,1118.803512,66.0,2962.0,0.0,193386.0,2329.951807,2329.951807,0.0,1118.803512,0.0,66.0,0.0,2962.0,11386000.0,34648000.0,1000.0,140414000.0,0.0,933733000.0,0.0,11386000.0,0.0,34648000.0,0.0,1000.0,0.0,140414000.0,Malicious
198.199.96.210--138.68.177.159--TCP--58658--8080(http-alt),138.68.177.159,198.199.96.210,TCP,8080(http-alt),58658,544939000.0,83.0,0.0,83.0,193066.0,2326.096386,1129.907914,103.0,2962.0,0.0,193066.0,2326.096386,2326.096386,0.0,1129.907914,0.0,103.0,0.0,2962.0,6645000.0,29332000.0,2000.0,147693000.0,0.0,544939000.0,0.0,6645000.0,0.0,29332000.0,0.0,2000.0,0.0,147693000.0,Malicious
